Year,Month,AGX,Arlington A,Arlington B,Arlington DB,EE_Baseline,ESS 4 Hr,ESS 5 Hr,Four Corners 4,Four Corners 5,Griffith A,Griffith B,Griffith DB,Incremental_DG,Microgrid XHLF,Microgrid - FUTURE,New Solar,PVS Solar 5 HR,PVS ESS 5 HR,PVS Solar 5 HR ITC,PVS ESS 5 HR ITC,Short-Term Purch,South Point A,South Point B,South Point DB,Harquahala 2023,Microgrid Preacher,Microgrid Forrest Lakes,Microgrid Punkin Center,WM Landfill,Ajo Solar,Legacy Solar,Microgrid City of Phx,Prescott Solar,CE TURBO,Desert Star BESS,Microgrid Aligned,Desert Star Solar,Luke AFB Solar,Saddle Mountain Solar,Bagdad Solar,Novo BioPower,Hyder II BESS,Gillespie 1 Solar,Badger 1,Hyder II Solar,Hyder I Solar,Douglas,Hyder I BESS,Cotton Center Solar,Cotton Center BESS,Paloma BESS,Paloma Solar,Chino Valley Solar,Yucca CT 1,Yucca CT 2,Chino Valley BESS,Microgrid MCASY,Gila Bend BESS,Foothills BESS,Utility Owned DE,Foothills Solar,Gila Bend Solar,Red Rock Solar,Red Rock BESS,Eastern Mining Load,Future LM6000 CT 9,Future LM6000 CT 10,Future LM6000 CT 11,Future LM6000 CT 12,Sundance CT 1,Sundance CT 10,Sundance CT 2,Sundance CT 3,Sundance CT 4,Sundance CT 5,Sundance CT 6,Sundance CT 7,Sundance CT 8,Sundance CT 9,Future LM6000 CT 1,Future LM6000 CT 2,Future LM6000 CT 3,Future LM6000 CT 4,Future LM6000 CT 5,Future LM6000 CT 6,Future LM6000 CT 7,Future LM6000 CT 8,Yucca CT 5,Yucca CT 6,Sundance CT11,Sundance CT12,Redhawk  CT1,Redhawk  CT2,Redhawk  CT3,Redhawk  CT4,Redhawk  CT5,Redhawk  CT6,Redhawk  CT7,Redhawk  CT8,Microgrid TSMC,TempGen,El Sol BESS,Yucca CT 4,Ocotillo CT 1,Ocotillo CT 2,Saguaro CT 1,Saguaro CT 2,West Phoenix CT 1,West Phoenix CT 2,Yucca CT 3,Mesquite 5 PVS-BESS,Mesquite 5 PVS-Solar,Yuma PVS-BESS,Yuma PVS-Solar,Saguaro CT 3,Vitol_75 Summer 2022,Pluto BESS,Snowflake 2 PVS-Solar,Snowflake 2 PVS-BESS,AES Westwing I BESS,West Phoenix CC1,West Phoenix CC2,West Phoenix CC3,Scatterwash 2 BESS,Perrin Ranch,High Lonesome,Kitt PVS-Solar,West Camp (100MW) (AES),PVS TBD Planned 2029 Solar,PVS TBD Planned 2029 BESS,Kitt PVS-BESS,White Tanks BESS,Ocotillo CT 4,Ocotillo CT 6,Ocotillo CT 5,Ocotillo CT 7,Ocotillo CT 3,West Phoenix CC4,Cholla 1,AES Westwing II BESS,Agave PVS Solar,Agave 1 PVS BESS,Justice BESS,Agave PVS-BESS,Desert Bloom BESS,Papago Solar,Agave 2 BESS,Ironwood_PVS_Solar,Ironwood_PVS_Battery,Ironwood PVS-Solar,Serrano_PVS_Solar,Scatterwash 1 BESS,Maricopa 1 PVS-Solar,Maricopa 1 PVS-BESS,Aragonne,Hashknife 2 PVS-BESS,CO Bar C PVS-BESS,CO Bar C PVS-Solar,Chevelon Butte II,Serrano PVS-BESS,SunStreams3 PVS-BESS,SunStreams3 PVS-Solar,Catclaw PVS-Solar,Harquahala Flats 1 BESS,Harquahala Flats 2 BESS,Chevelon Butte,West Phoenix CC5 A,West Phoenix CC5 B,West Phoenix CC5 DB,Beehive BESS,Catclaw PVS-BESS,PVS TBD Planned 2027 Solar,PVS TBD Planned 2027 BESS,Redhawk 1 A,Redhawk 1 B,Redhawk 1 DB,Redhawk 2 A,Redhawk 2 B,Redhawk 2 DB,Solana,Cholla 3,Hashknife 1 PVS-Solar,Hashknife 1 PVS-BESS,Harquahala 2022,Harquahala Sun 2 PVS-Solar,Papago BESS,SunStreams4 PVS-BESS,SunStreams4 PVS-Solar,Harquahala Sun 2 PVS-BESS,Pioneer PVS-Solar,Pioneer PVS-BESS,Redhawk Generating Station (ProEnergy Services) BTA,Summer Purchase 1,Demand Side Curtailment Area1 First Block,Maricopa 2 PVS-Solar,Maricopa 2 PVS-BESS,Palo Verde 3,Palo Verde 1,Palo Verde 2,Snowflake 1 PVS-Solar,Snowflake 1 PVS-BESS,Summer Purchase 2,West Camp,Embedded_DG,Dump Energy,External,Demand Side Curtailment Area1 Second Block,Desert Sun CT 1,Desert Sun CT 2,Arv_CCH_1,Arv_CCH_2,Distributed BESS,HASHKNIFE I PVS-SOLAR,HASHKNIFE 2 PVS-SOLAR,KITT PVS-SOLAR,MARICOPA 1 PVS-SOLAR,MARICOPA 2 PVS-SOLAR,PIONEER PVS-SOLAR,SNOWFLAKE 1 PVS-SOLAR,SNOWFLAKE 2 PVS-SOLAR,Demand Side Curtailment Area1 First Block,Demand Side Curtailment Area1 Second Block,Embedded_DG
2043,1,102.7,0,0,0,2077,0,934.11,472.5,472.5,244,244,112,2250,215,400,6284,788,764.36,497,482.09,0,0,0,0,0,1.6,1.6,2.2,2.581,3.567,3.9312,6,9.625,10,10,10.8,10.89,11.64,13.412,13.7122,14,14,14.221,14.376,14.751,15.192,18,16,16.093,17,17,17.221,18.857,19,19,19,21.6,32,35,40.3443,35.794,35.94,39.8,40,40.963005,41.9758,41.9758,41.9758,41.9758,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,45,45,45,45,48.99999803,48.99999803,48.99999803,48.99999803,48.99999803,48.99999803,48.99999803,48.99999803,48.75,50,48.5,54,56.001,56.001,56.001,56.001,50.0005,50.0005,55,58.2,60,64.99,70,78.9975,75,72.75,75,72.75,77.891,85,85,85,82.45,97,97.3,97.706,99,100,97,97,97,96.0024,96.0024,105,105,106.9964,108.0016,112,116.109,150,145.5,145.5,145.5,145.5,150,145.5,168,162.96,168,170,164.9,183.3,177.801,194.6,194,199.82,206,210.736,207.3375,208.55,215,225,218.25,218.25,232.8413,246,246,60,242.5,242.5,250,242.5,273.5,273.5,36.81818182,273.5,273.5,36.81818182,250,269,275,266.75,300,300,291,291,300,291,300,291,350.1396,0,363,366.7,355.699,381.5,381.792,382.374,400,388,0,490.9,0,4000,10000,10000,323.5,323.5,512.5,512.5,539,275,197.8,97.706,183.3,366.7,300,400,75,363,10000,1365
2043,2,102.7,0,0,0,2077,0,934.11,472.5,472.5,244,244,112,2250,215,400,6284,788,764.36,497,482.09,0,0,0,0,0,1.6,1.6,2.2,2.581,3.567,3.9312,6,9.625,10,10,10.8,10.89,11.64,13.412,13.7122,14,14,14.221,14.376,14.751,15.192,18,16,16.093,17,17,17.221,18.857,19,19,19,21.6,32,35,40.3443,35.794,35.94,39.8,40,40.963005,41.9758,41.9758,41.9758,41.9758,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,45,45,45,45,48.99999803,48.99999803,48.99999803,48.99999803,48.99999803,48.99999803,48.99999803,48.99999803,48.75,50,48.5,54,56.001,56.001,56.001,56.001,50.0005,50.0005,55,58.2,60,64.99,70,78.9975,75,72.75,75,72.75,77.891,85,85,85,82.45,97,97.3,97.706,99,100,97,97,97,96.0024,96.0024,105,105,106.9964,108.0016,112,116.109,150,145.5,145.5,145.5,145.5,150,145.5,168,162.96,168,170,164.9,183.3,177.801,194.6,194,199.82,206,210.736,207.3375,208.55,215,225,218.25,218.25,232.8413,246,246,60,242.5,242.5,250,242.5,273,273,36.81818182,273,273,36.81818182,250,269,275,266.75,300,300,291,291,300,291,300,291,350.1396,0,363,366.7,355.699,381.5,381.792,382.374,400,388,0,490.9,0,4000,10000,10000,323.5,323.5,512.5,512.5,539,275,197.8,97.706,183.3,366.7,300,400,75,363,10000,1365
2043,3,102.7,0,0,0,2077,0,934.11,472.5,472.5,244,244,112,2250,215,400,6284,788,764.36,497,482.09,0,0,0,0,0,1.6,1.6,2.2,2.581,3.567,3.9312,6,9.625,10,10,10.8,10.89,11.64,13.412,13.7122,14,14,14.221,14.376,14.751,15.192,16,16,16.093,17,17,17.221,18.857,19,19,19,21.6,32,35,40.3443,35.794,35.94,39.8,40,40.963005,41,41,41,41,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,45,45,45,45,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,48.75,50,48.5,54,55,55,55,55,50.0005,50.0005,55,58.2,60,64.99,70,75,75,72.75,75,72.75,77.891,85,85,85,82.45,97,97.3,97.706,99,100,97,97,97,96.0024,96.0024,105,105,106.9964,108.0016,112,116.109,150,145.5,145.5,145.5,145.5,150,145.5,168,162.96,168,170,164.9,183.3,177.801,194.6,194,199.82,206,210.736,207.3375,208.55,215,225,218.25,218.25,232.8413,246,246,60,242.5,242.5,250,242.5,263.5,263.5,45,263.5,263.5,45,250,269,275,266.75,300,300,291,291,300,291,300,291,342,0,363,366.7,355.699,381.5,381.792,382.374,400,388,0,490.9,0,4000,10000,10000,323.5,323.5,507.375,507.375,539,275,197.8,97.706,183.3,366.7,300,400,75,363,10000,1365
2043,4,102.7,0,0,0,2077,0,934.11,472.5,472.5,244,244,112,2250,215,400,6284,788,764.36,497,482.09,0,0,0,0,0,1.6,1.6,2.2,2.581,3.567,3.9312,6,9.625,10,10,10.8,10.89,11.64,13.412,13.7122,14,14,14.221,14.376,14.751,15.192,16,16,16.093,17,17,17.221,18.857,19,19,19,21.6,32,35,40.3443,35.794,35.94,39.8,40,40.963005,41,41,41,41,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,45,45,45,45,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,48.75,50,48.5,54,55,55,55,55,50.0005,50.0005,55,58.2,60,64.99,70,75,75,72.75,75,72.75,77.891,85,85,85,82.45,97,97.3,97.706,99,100,97,97,97,95.0028,95.0028,105,105,106.9964,109.9952,112,116.109,150,145.5,145.5,145.5,145.5,150,145.5,168,162.96,168,170,164.9,183.3,177.801,194.6,194,199.82,206,210.736,207.3375,208.55,215,225,218.25,218.25,232.8413,246,246,60,242.5,242.5,250,242.5,263.5,263.5,45,263.5,263.5,45,250,269,275,266.75,300,300,291,291,300,291,300,291,342,0,363,366.7,355.699,381.5,381.792,382.374,400,388,0,490.9,0,4000,10000,10000,323.5,323.5,507.375,507.375,539,275,197.8,97.706,183.3,366.7,300,400,75,363,10000,1365
2043,5,102.7,267.5,267.5,65,2077,0,963,472.5,472.5,244,244,112,2250,215,400,6284,788,788,497,497,0,273,248.649,19,0,1.6,1.6,2.2,2.581,3.567,3.9312,6,9.625,10,10,10.8,10.89,11.64,13.412,13.7122,14,14,14.221,14.376,14.751,15.192,15,16,16.093,17,17,17.221,18.857,18.0006,18.0006,19,21.6,32,35,40.3443,35.794,35.94,39.8,40,40.963005,41,41,41,41,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,44.001,44.001,41,41,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,48.75,50,50,50.9976,50.0005,50.0005,50.0005,50.0005,50.0005,50.0005,52.0025,60,60,67,70,71.0025,75,75,75,75,80.3,85,85,85,85,97,97.3,97.706,99,100,100,100,100,100.3986,100.3986,105,105,106,101.0016,112,119.7,150,150,150,150,150,150,150,168,168,168,170,170,183.3,183.3,194.6,200,206,206,210.736,213.75,215,215,225,225,225,232.8413,240,240,60,250,250,250,250,263.5,263.5,45,263.5,263.5,45,250,269,275,275,300,300,300,300,300,300,300,300,342,0,363,366.7,366.7,381.5,381.792,382.374,400,400,0,490.9,0,4000,10000,10000,323.5,323.5,507.375,507.375,539,275,197.8,97.706,183.3,366.7,300,400,75,363,10000,1365
2043,6,102.7,267.5,267.5,65,2077,0,963,472.5,472.5,244,244,112,2250,215,400,6284,788,788,497,497,0,273,248.649,19,0,1.6,1.6,2.2,2.581,3.567,3.9312,6,9.625,10,10,10.8,10.89,11.64,13.412,13.7122,14,14,14.221,14.376,14.751,15.192,17.2,16,16.093,17,17,17.221,18.857,16.3001,16.1006,19,21.6,32,35,40.3443,35.794,35.94,39.8,40,40.963005,42.9516,42.9516,42.9516,42.9516,43.9992,43.9992,43.9992,43.9992,43.9992,43.9992,43.9992,43.9992,43.9992,43.9992,43.9992,43.9992,43.9992,43.9992,43.9992,43.9992,43.9992,43.9992,41.301,44.001,41,41,42.74999988,42.74999988,42.74999988,42.74999988,42.74999988,42.74999988,42.74999988,42.74999988,48.75,50,50,47.898,51.502,50.0005,50.798,52.4975,48.9005,50.0995,48.499,60,60,67,70,67.8,75,75,75,75,80.3,85,85,85,85,97,97.3,97.706,99,100,100,100,100,100.0008,100.0008,105,104.496,103.0002,101.0016,112,119.7,150,150,150,150,150,150,150,168,168,168,170,170,183.3,183.3,194.6,200,206,206,210.736,213.75,215,215,225,225,225,232.8413,240,240,49.998,250,250,250,250,258.5,258.5,45,258.5,258.5,45,250,269,275,275,300,300,300,300,300,300,300,300,358.2792,0,363,366.7,366.7,381.5,381.792,382.374,400,400,0,490.9,0,4000,10000,10000,323.5,323.5,481.75,481.75,539,275,197.8,97.706,183.3,366.7,300,400,75,363,10000,1365
2043,7,102.7,267.5,267.5,65,2077,0,963,485.1,485.1,244,244,112,2250,215,400,6284,788,788,497,497,0,273,248.649,19,0,1.6,1.6,2.2,2.581,3.567,3.9312,6,9.625,10,10,10.8,10.89,11.64,13.412,13.7122,14,14,14.221,14.376,14.751,15.192,17.2,16,16.093,17,17,17.221,18.857,16.3001,16.1006,19,21.6,32,35,40.3443,35.794,35.94,39.8,40,40.963005,42.9516,42.9516,42.9516,42.9516,43.9992,43.9992,43.9992,43.9992,43.9992,43.9992,43.9992,43.9992,43.9992,43.9992,43.9992,43.9992,43.9992,43.9992,43.9992,43.9992,43.9992,43.9992,41.301,44.001,41,41,42.74999988,42.74999988,42.74999988,42.74999988,42.74999988,42.74999988,42.74999988,42.74999988,48.75,50,50,47.898,51.502,50.0005,50.798,52.4975,48.9005,50.0995,48.499,60,60,67,70,67.8,75,75,75,75,80.3,85,85,85,85,97,97.3,97.706,99,100,100,100,100,100.0008,100.0008,105,104.496,103.0002,101.0016,112,119.7,150,150,150,150,150,150,150,168,168,168,170,170,183.3,183.3,194.6,200,206,206,210.736,213.75,215,215,225,225,225,232.8413,240,240,49.998,250,250,250,250,258.5,258.5,45,258.5,258.5,45,250,269,275,275,300,300,300,300,300,300,300,300,358.2792,0,363,366.7,366.7,381.5,381.792,382.374,400,400,0,490.9,0,4000,10000,10000,323.5,323.5,481.75,481.75,539,275,197.8,97.706,183.3,366.7,300,400,75,363,10000,1365
2043,8,102.7,267.5,267.5,65,2077,0,963,485.1,485.1,244,244,112,2250,215,400,6284,788,788,497,497,0,273,248.649,19,0,1.6,1.6,2.2,2.581,3.567,3.9312,6,9.625,10,10,10.8,10.89,11.64,13.412,13.7122,14,14,14.221,14.376,14.751,15.192,17.2,16,16.093,17,17,17.221,18.857,16.3001,16.1006,19,21.6,32,35,40.3443,35.794,35.94,39.8,40,40.963005,42.9516,42.9516,42.9516,42.9516,43.9992,43.9992,43.9992,43.9992,43.9992,43.9992,43.9992,43.9992,43.9992,43.9992,43.9992,43.9992,43.9992,43.9992,43.9992,43.9992,43.9992,43.9992,41.301,44.001,41,41,42.74999988,42.74999988,42.74999988,42.74999988,42.74999988,42.74999988,42.74999988,42.74999988,48.75,50,50,47.898,51.502,50.0005,50.798,52.4975,48.9005,50.0995,48.499,60,60,67,70,67.8,75,75,75,75,80.3,85,85,85,85,97,97.3,97.706,99,100,100,100,100,100.0008,100.0008,105,104.496,103.0002,101.0016,112,119.7,150,150,150,150,150,150,150,168,168,168,170,170,183.3,183.3,194.6,200,206,206,210.736,213.75,215,215,225,225,225,232.8413,240,240,49.998,250,250,250,250,258.5,258.5,45,258.5,258.5,45,250,269,275,275,300,300,300,300,300,300,300,300,358.2792,0,363,366.7,366.7,381.5,381.792,382.374,400,400,0,490.9,0,4000,10000,10000,323.5,323.5,481.75,481.75,539,275,197.8,97.706,183.3,366.7,300,400,75,363,10000,1365
2043,9,102.7,267.5,267.5,65,2077,0,963,472.5,472.5,244,244,112,2250,215,400,6284,788,788,497,497,0,273,248.649,19,0,1.6,1.6,2.2,2.581,3.567,3.9312,6,9.625,10,10,10.8,10.89,11.64,13.412,13.7122,14,14,14.221,14.376,14.751,15.192,17.2,16,16.093,17,17,17.221,18.857,16.3001,16.1006,19,21.6,32,35,40.3443,35.794,35.94,39.8,40,40.963005,42.9516,42.9516,42.9516,42.9516,43.9992,43.9992,43.9992,43.9992,43.9992,43.9992,43.9992,43.9992,43.9992,43.9992,43.9992,43.9992,43.9992,43.9992,43.9992,43.9992,43.9992,43.9992,41.301,44.001,41,41,42.74999988,42.74999988,42.74999988,42.74999988,42.74999988,42.74999988,42.74999988,42.74999988,48.75,50,50,47.898,51.502,50.0005,50.798,52.4975,48.9005,50.0995,48.499,60,60,67,70,67.8,75,75,75,75,80.3,85,85,85,85,97,97.3,97.706,99,100,100,100,100,100.0008,100.0008,105,104.496,103.0002,101.0016,112,119.7,150,150,150,150,150,150,150,168,168,168,170,170,183.3,183.3,194.6,200,206,206,210.736,213.75,215,215,225,225,225,232.8413,240,240,49.998,250,250,250,250,258.5,258.5,45,258.5,258.5,45,250,269,275,275,300,300,300,300,300,300,300,300,358.2792,0,363,366.7,366.7,381.5,381.792,382.374,400,400,0,490.9,0,4000,10000,10000,323.5,323.5,481.75,481.75,539,275,197.8,97.706,183.3,366.7,300,400,75,363,10000,1365
2043,10,102.7,267.5,267.5,65,2077,0,963,472.5,472.5,244,244,112,2250,215,400,6284,788,788,497,497,0,273,248.649,19,0,1.6,1.6,2.2,2.581,3.567,3.9312,6,9.625,10,10,10.8,10.89,11.64,13.412,13.7122,14,14,14.221,14.376,14.751,15.192,15,16,16.093,17,17,17.221,18.857,18.0006,18.0006,19,21.6,32,35,40.3443,35.794,35.94,39.8,40,40.963005,41,41,41,41,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,45,45,41,41,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,48.75,50,50,50.9976,50.0005,50.0005,50.0005,50.0005,50.0005,50.0005,52.0025,60,60,67,70,71.0025,75,75,75,75,80.3,85,85,85,85,97,97.3,97.706,99,100,100,100,100,100.3986,100.3986,105,105,106.9964,101.0016,112,119.7,150,150,150,150,150,150,150,168,168,168,170,170,183.3,183.3,194.6,200,206,206,210.736,213.75,215,215,225,225,225,232.8413,240,240,60,250,250,250,250,263.5,263.5,45,263.5,263.5,45,250,269,275,275,300,300,300,300,300,300,300,300,342,0,363,366.7,366.7,381.5,381.792,382.374,400,400,0,490.9,0,4000,10000,10000,323.5,323.5,507.375,507.375,539,275,197.8,97.706,183.3,366.7,300,400,75,363,10000,1365
2043,11,102.7,0,0,0,2077,0,934.11,472.5,472.5,244,244,112,2250,215,400,6284,788,764.36,497,482.09,0,0,0,0,0,1.6,1.6,2.2,2.581,3.567,3.9312,6,9.625,10,10,10.8,10.89,11.64,13.412,13.7122,14,14,14.221,14.376,14.751,15.192,18,16,16.093,17,17,17.221,18.857,19,19,19,21.6,32,35,40.3443,35.794,35.94,39.8,40,40.963005,41.9758,41.9758,41.9758,41.9758,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,45,45,45,45,48.99999803,48.99999803,48.99999803,48.99999803,48.99999803,48.99999803,48.99999803,48.99999803,48.75,50,48.5,54,56.001,56.001,56.001,56.001,50.0005,50.0005,55,58.2,60,64.99,70,78.9975,75,72.75,75,72.75,77.891,85,85,85,82.45,97,97.3,97.706,99,100,97,97,97,96.0024,96.0024,105,105,106.9964,109.9952,112,116.109,150,145.5,145.5,145.5,145.5,150,145.5,168,162.96,168,170,164.9,183.3,177.801,194.6,194,199.82,206,210.736,207.3375,208.55,215,225,218.25,218.25,232.8413,246,246,60,242.5,242.5,250,242.5,271.5,271.5,36.81818182,271.5,271.5,36.81818182,250,269,275,266.75,300,300,291,291,300,291,300,291,350.1396,0,363,366.7,355.699,381.5,381.792,382.374,400,388,0,490.9,0,4000,10000,10000,323.5,323.5,512.5,512.5,539,275,197.8,97.706,183.3,366.7,300,400,75,363,10000,1365
2043,12,102.7,0,0,0,2077,0,934.11,472.5,472.5,244,244,112,2250,215,400,6284,788,764.36,497,482.09,0,0,0,0,0,1.6,1.6,2.2,2.581,3.567,3.9312,6,9.625,10,10,10.8,10.89,11.64,13.412,13.7122,14,14,14.221,14.376,14.751,15.192,18,16,16.093,17,17,17.221,18.857,19,19,19,21.6,32,35,40.3443,35.794,35.94,39.8,40,40.963005,41.9758,41.9758,41.9758,41.9758,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,45,45,45,45,48.99999803,48.99999803,48.99999803,48.99999803,48.99999803,48.99999803,48.99999803,48.99999803,48.75,50,48.5,54,56.001,56.001,56.001,56.001,50.0005,50.0005,55,58.2,60,64.99,70,78.9975,75,72.75,75,72.75,77.891,85,85,85,82.45,97,97.3,97.706,99,100,97,97,97,96.0024,96.0024,105,105,106.9964,108.0016,112,116.109,150,145.5,145.5,145.5,145.5,150,145.5,168,162.96,168,170,164.9,183.3,177.801,194.6,194,199.82,206,210.736,207.3375,208.55,215,225,218.25,218.25,232.8413,246,246,60,242.5,242.5,250,242.5,273.5,273.5,36.81818182,273.5,273.5,36.81818182,250,269,275,266.75,300,300,291,291,300,291,300,291,350.1396,0,363,366.7,355.699,381.5,381.792,382.374,400,388,0,490.9,0,4000,10000,10000,323.5,323.5,512.5,512.5,539,275,197.8,97.706,183.3,366.7,300,400,75,363,10000,1365
2044,1,102.7,0,0,0,2187,0,934.11,472.5,472.5,244,244,112,2355,215,400,6284,930,902.1,355,344.35,0,0,0,0,0,1.6,1.6,2.2,2.581,3.567,3.9312,6,9.625,10,10,10.8,10.89,11.64,13.412,13.7122,14,14,14.221,14.376,14.751,15.192,18,16,16.093,17,17,17.221,18.857,19,19,19,21.6,32,35,40.3443,35.794,35.94,39.8,40,40.963005,41.9758,41.9758,41.9758,41.9758,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,45,45,45,45,48.99999803,48.99999803,48.99999803,48.99999803,48.99999803,48.99999803,48.99999803,48.99999803,48.75,50,48.5,54,56.001,56.001,56.001,56.001,50.0005,50.0005,55,58.2,60,64.99,70,78.9975,75,72.75,75,72.75,77.891,85,85,85,82.45,97,97.3,97.706,99,100,97,97,97,96.0024,96.0024,105,105,106.9964,108.0016,112,116.109,150,145.5,145.5,145.5,145.5,150,145.5,168,162.96,168,170,164.9,183.3,177.801,194.6,194,199.82,206,210.736,207.3375,208.55,215,225,218.25,218.25,232.8413,246,246,60,242.5,242.5,250,242.5,273.5,273.5,36.81818182,273.5,273.5,36.81818182,250,269,275,266.75,300,300,291,291,300,291,300,291,350.1396,0,363,366.7,355.699,381.5,381.792,382.374,400,388,0,490.9,0,4000,10000,10000,323.5,323.5,512.5,512.5,572,275,197.8,97.706,183.3,366.7,300,400,75,363,10000,1365
2044,2,102.7,0,0,0,2187,0,934.11,472.5,472.5,244,244,112,2355,215,400,6284,930,902.1,355,344.35,0,0,0,0,0,1.6,1.6,2.2,2.581,3.567,3.9312,6,9.625,10,10,10.8,10.89,11.64,13.412,13.7122,14,14,14.221,14.376,14.751,15.192,18,16,16.093,17,17,17.221,18.857,19,19,19,21.6,32,35,40.3443,35.794,35.94,39.8,40,40.963005,41.9758,41.9758,41.9758,41.9758,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,42.9996,45,45,45,45,48.99999803,48.99999803,48.99999803,48.99999803,48.99999803,48.99999803,48.99999803,48.99999803,48.75,50,48.5,54,56.001,56.001,56.001,56.001,50.0005,50.0005,55,58.2,60,64.99,70,78.9975,75,72.75,75,72.75,77.891,85,85,85,82.45,97,97.3,97.706,99,100,97,97,97,96.0024,96.0024,105,105,106.9964,108.0016,112,116.109,150,145.5,145.5,145.5,145.5,150,145.5,168,162.96,168,170,164.9,183.3,177.801,194.6,194,199.82,206,210.736,207.3375,208.55,215,225,218.25,218.25,232.8413,246,246,60,242.5,242.5,250,242.5,273,273,36.81818182,273,273,36.81818182,250,269,275,266.75,300,300,291,291,300,291,300,291,350.1396,0,363,366.7,355.699,381.5,381.792,382.374,400,388,0,490.9,0,4000,10000,10000,323.5,323.5,512.5,512.5,572,275,197.8,97.706,183.3,366.7,300,400,75,363,10000,1365
2044,3,102.7,0,0,0,2187,0,934.11,472.5,472.5,244,244,112,2355,215,400,6284,930,902.1,355,344.35,0,0,0,0,0,1.6,1.6,2.2,2.581,3.567,3.9312,6,9.625,10,10,10.8,10.89,11.64,13.412,13.7122,14,14,14.221,14.376,14.751,15.192,16,16,16.093,17,17,17.221,18.857,19,19,19,21.6,32,35,40.3443,35.794,35.94,39.8,40,40.963005,41,41,41,41,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,45,45,45,45,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,48.75,50,48.5,54,55,55,55,55,50.0005,50.0005,55,58.2,60,64.99,70,75,75,72.75,75,72.75,77.891,85,85,85,82.45,97,97.3,97.706,99,100,97,97,97,96.0024,96.0024,105,105,106.9964,108.0016,112,116.109,150,145.5,145.5,145.5,145.5,150,145.5,168,162.96,168,170,164.9,183.3,177.801,194.6,194,199.82,206,210.736,207.3375,208.55,215,225,218.25,218.25,232.8413,246,246,60,242.5,242.5,250,242.5,263.5,263.5,45,263.5,263.5,45,250,269,275,266.75,300,300,291,291,300,291,300,291,342,0,363,366.7,355.699,381.5,381.792,382.374,400,388,0,490.9,0,4000,10000,10000,323.5,323.5,507.375,507.375,572,275,197.8,97.706,183.3,366.7,300,400,75,363,10000,1365
2044,4,102.7,0,0,0,2187,0,934.11,472.5,472.5,244,244,112,2355,215,400,6284,930,902.1,355,344.35,0,0,0,0,0,1.6,1.6,2.2,2.581,3.567,3.9312,6,9.625,10,10,10.8,10.89,11.64,13.412,13.7122,14,14,14.221,14.376,14.751,15.192,16,16,16.093,17,17,17.221,18.857,19,19,19,21.6,32,35,40.3443,35.794,35.94,39.8,40,40.963005,41,41,41,41,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,45,45,45,45,46.75,46.75,46.75,46.75,46.75,46.75,46.75,46.75,48.75,50,48.5,54,55,55,55,55,50.0005,50.0005,55,58.2,60,64.99,70,75,75,72.75,75,72.75,77.891,85,85,85,82.45,97,97.3,97.706,99,100,97,97,97,95.0028,95.0028,105,105,106.9964,109.9952,112,116.109,150,145.5,145.5,145.5,145.5,150,145.5,168,162.96,168,170,164.9,183.3,177.801,194.6,194,199.82,206,210.736,207.3375,208.55,215,225,218.25,218.25,232.8413,246,246,60,242.5,242.5,250,242.5,263.5,263.5,45,263.5,263.5,45,250,269,275,266.75,300,300,291,291,300,291,300,291,342,0,363,366.7,355.699,381.5,381.792,382.374,400,388,0,490.9,0,4000,10000,10000,323.5,323.5,507.375,507.375,572,275,197.8,97.706,183.3,366.7,300,400,75,363,10000,1365
